Add/Edit/Delete,Name,Branch,Address 1,City,State,Zip,Country,Tier Name,Data Privacy,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,,empty,,
,PARIS HAUSSMANN,,50/52 Boulevard Haussmann,PARIS,,75009,France,EMEA - France,FALSE,Acticall,Call Center,EMEA,FRM,TRUE,,,
,PAU,,"Pau Cité Multimédia, 1 rue Ada Byron",PAU,,64000,France,EMEA - France,FALSE,Acticall,Call Center,EMEA,FRM,TRUE,,,
,ROMAINVILLE,,"Quadrium Nord -, 4ème étage, 110 Avenue Gaston Roussel",ROMAINVILLE,,93230,France,EMEA - France,FALSE,Acticall,Call Center,EMEA,FRM,TRUE,,,
,ROUEN,,R2-R3 - 12 rue Ernest Renan CS71002,SAINT ETIENNE DU ROUVRAY,,76801,France,EMEA - France,FALSE,Acticall,Call Center,EMEA,FRM,TRUE,,,
,SAINT-ETIENNE,,Parc Technologique Métrotech Domaine du Colombier,ST JEAN BONNEFOND,,42650,France,EMEA - France,FALSE,Acticall,Call Center,EMEA,FRM,TRUE,,,
,TARBES,,"Zone Tertiaire Téléport 2, Pyrénées Aéropole",JUILLAN,,65290,France,EMEA - France,FALSE,Acticall,Call Center,EMEA,FRM,TRUE,,,
,TOUL,,"73, Rue Raymond Frénot, Pôle Industriel Toul Europe Secteur A",TOUL,,54200,France,EMEA - France,FALSE,Acticall,Call Center,EMEA,FRM,TRUE,,,
,Troyes,,35 Rue Danton,Pont Sainte Marie,,10150,France,EMEA - France,FALSE,Sitel,Call Center,EMEA,FRM,TRUE,,,
,VERVINS,,"Ancienne Ecole Ceccaldi, Place Papillon",VERVINS,,2140,France,EMEA - France,FALSE,Acticall,Call Center,EMEA,FRM,TRUE,,,
,WASQUEHAL,,ZAC du Grand Cottignies 10 et 12 rue Conrad Adenauer,WASQUEHAL,,59290,France,EMEA - France,FALSE,Acticall,Call Center,EMEA,FRM,TRUE,,,
,Berlin,,"Niederlassung Berlin & Potsdam, Wohlrabedamm 32, 13629 Berlin, Germany",Berlin,,,Germany,EMEA - Germany,FALSE,Sitel,Call Center,EMEA,GEE,TRUE,,,
,Dessau 1,,Unruhstr.1,Dessau,,,Germany,EMEA - Germany,FALSE,Sitel,Call Center,EMEA,GEE,TRUE,,,
,Dusseldorf,,Muensterstr. 100,Dusseldorf,,,Germany,EMEA - Germany,FALSE,Sitel,Call Center,EMEA,GEE,TRUE,,,
,Germany - Maxhubs,,Germany - Maxhubs,Germany - Maxhubs,,,Germany,EMEA - Germany,FALSE,Sitel,MAXhubs,EMEA,GEE,TRUE,,,
,Germany - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Germany - Other Locations,,,Germany,EMEA - Germany,FALSE,Sitel,Other,EMEA,GEE,TRUE,,,
