Add/Edit/Delete,Name,Branch,Address 1,City,State,Zip,Country,Tier Name,Data Privacy,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,,empty,,
,Belgrade,,"The Blue Center, Spanskih Boraca 3",New Belgrade,,11070,Serbia,EMEA - Serbia,FALSE,Sitel,Call Center,EMEA,GEE,TRUE,,,
,NIS,,"Nis Satellite Office, Nikodija Stojanovica Tatka bb",NIS,,18000,Serbia,EMEA - Serbia,FALSE,Sitel,Other,EMEA,GEE,TRUE,,,
,Serbia - Maxhubs,,Serbia - Maxhubs,Serbia - Maxhubs,,,Serbia,EMEA - Serbia,FALSE,Sitel,MAXhubs,EMEA,GEE,TRUE,,,
,Serbia – Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Serbia – Other Locations,,,Serbia,EMEA - Serbia,FALSE,Sitel,Other,EMEA,GEE,TRUE,,,
,Serbia - Virtual,,Serbia - Virtual,Serbia - Virtual,,,Serbia,EMEA - Serbia,FALSE,Sitel,Virtual,EMEA,GEE,TRUE,,,
,Barcelona - Parc 22,,"Complejo Empresarial, Parc 22@ Edificio B, C/Fluvia 65, Bajo",Barcelona,,,Spain,EMEA - Spain,FALSE,Sitel,Call Center,EMEA,SPI,TRUE,,,
,Madrid Retama,,"C/ de la Retama 7, Edificio Indocentro, Planta 11",Madrid,,,Spain,EMEA - Spain,FALSE,Sitel,Call Center,EMEA,SPI,TRUE,,,
,Sevilla Rep. Argentina,,"C/  Republica Argentina 25, 6a Planta",Sevilla,,,Spain,EMEA - Spain,FALSE,Sitel,Call Center,EMEA,SPI,TRUE,,,
,Spain - Maxhubs,,Spain - Maxhubs,Spain - Maxhubs,,,Spain,EMEA - Spain,FALSE,Sitel,MAXhubs,EMEA,SPI,TRUE,,,
,Spain - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Spain - Other Locations,,,Spain,EMEA - Spain,FALSE,Sitel,Call Center,EMEA,SPI,TRUE,,,
,Spain - Virtual,,Spain - Virtual,Spain - Virtual,,,Spain,EMEA - Spain,FALSE,Sitel,Virtual,EMEA,GEE,TRUE,,,
,Coventry Earlsden Park,,"The First Floor,Earlsdon Park,53-55 Butts Road.",Coventry,,CV1 3BH,United Kingdom,EMEA - UK,FALSE,Sitel,Call Center,EMEA,UKIN,TRUE,,,
,Exeter,,"3 Manor Court, Dixs Field EX 11 Street",Exeter,,,United Kingdom,EMEA - UK,FALSE,Sitel,Call Center,EMEA,UKIN,TRUE,,,
,Kingston,,"Mitre House, Canbury Park Road Kingston upon thames, Surrey, W8 4PL",Kingston upon thames,,,United Kingdom,EMEA - UK,FALSE,Sitel,Call Center,EMEA,UKIN,TRUE,,,
,Newcastle East,,"SITEL House, Wolsey Business Park Tolpits Lane, Watford HERTS",Newcastle,,,United Kingdom,EMEA - UK,FALSE,Sitel,Call Center,EMEA,UKIN,TRUE,,,
add,Plymouth,,"17 Brest Road, Derriford",Plymouth,,PL6 5AA,United Kingdom,EMEA - UK,FALSE,Sitel,Call Center,EMEA,UKIN,TRUE,,,
,Stratford,,"SITEL House, Timothy's Bridge Road Stratford upon Avon, Warwickshire, CV37 9HY",Stratford upon Avon,,,United Kingdom,EMEA - UK,FALSE,Sitel,Call Center,EMEA,UKIN,TRUE,,,
,Swansea,,"1st Floor, Cardigan House, Castle Court, Swansea Enterprise Park",Swansea,,SA7 9LZ,United Kingdom,EMEA - UK,FALSE,Sitel,Call Center,EMEA,UKIN,TRUE,,,
edit,United Kingdom - Maxhubs,,United Kingdom - Maxhubs,United Kingdom - Maxhubs,,,United Kingdom,EMEA - UK,FALSE,Sitel,MAXhubs,EMEA,UKIN,TRUE,,,
,United Kingdom - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",United Kingdom - Other Locations,,,United Kingdom,EMEA - UK,FALSE,Sitel,Other,EMEA,UKIN,TRUE,,,
,United Kingdom - Virtual,,United Kingdom - Virtual,United Kingdom - Virtual,,,United Kingdom,EMEA - UK,FALSE,Sitel,Virtual,EMEA,UKIN,TRUE,,,
,Augusta,,2115 Windsor Springs Road Suite #1,Augusta,GA,,United States,North America - USA,FALSE,Sitel,Call Center,North America,Southeast,TRUE,,,
,Caribou,,63 Sweden St,Caribou,ME,4736,United States,North America - USA,FALSE,Sitel,Call Center,North America,Northeast,TRUE,,,
add,Corning,,101 Canada Road,Painted Post,NY,,United States,North America - USA,FALSE,Sitel,Call Center,North America,Northeast,TRUE,,,
,NIS,,"Nis Satellite Office, Nikodija Stojanovica Tatka bb",NIS,,18000,Serbia,EMEA - Serbia,FALSE,Sitel,Other,EMEA,GEE,TRUE,,,
,Fishers,,"999 E. 121st Street, Fishers, Indiana",Indiana,IN,46037,United States,North America - USA,FALSE,Sitel,Call Center,North America,Mid-West,TRUE,,,
,Glasgow,,101 Hilltopper Way,Glasgow,KY,,United States,North America - USA,FALSE,Sitel,Call Center,North America,Southeast,TRUE,,,
,Knoxville,,412 North Peters Rd,Knoxville,TN,37922,United States,North America - USA,FALSE,Sitel,Call Center,North America,Southeast,TRUE,,,
edit,Las Vegas,,420 Pilot Road,Las Vegas,NV,,United States,North America - USA,FALSE,Sitel,Call Center,North America,West,TRUE,,,
,Norman,,2701 Technology Place,United States,OK,,United States,North America - USA,FALSE,Sitel,Call Center,North America,Mid-West,TRUE,,,
,Oak Ridge,,1089 Commerce Park Drive Building 5,Oak Ridge,TN,,United States,North America - USA,FALSE,Sitel,Call Center,North America,Mid-West,TRUE,,,
,Omaha,,7720 Crown Point Avenue,Omaha,NE,68134,United States,North America - USA,FALSE,Sitel,Call Center,North America,West,TRUE,,,
,Spartanburg,,"589 Springfield Road, Spartanburg, SC 29303",Spartanburg,SC,29303,United States,North America - USA,FALSE,Sitel,Call Center,North America,USA,TRUE,,,
,United States - Maxhubs,,United States - Maxhubs,United States - Maxhubs,Other,,United States,North America - USA,FALSE,Sitel,MAXhubs,North America,North America,TRUE,,,
,United States - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",United States - Other Locations,Other,,United States,North America - USA,FALSE,Sitel,Other,North America,USA,TRUE,,,
,United States - Virtual,,United States - Virtual,United States - Virtual,Other,,United States,North America - USA,FALSE,Sitel,Virtual,North America,USA,TRUE,,,
,China - Maxhubs,,China - Maxhubs,China - Maxhubs,Other,,China,Asia Pacific - China,FALSE,Sitel,MAXhubs,Asia Pacific,China,TRUE,,,
,China - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",United Kingdom - Other Locations,Other,,China,Asia Pacific - China,FALSE,Sitel,Other,Asia Pacific,China,TRUE,,,
,China - Virtual,,China - Virtual,China - Virtual,Other,,China,Asia Pacific - China,FALSE,Sitel,Other,Asia Pacific,China,TRUE,,,
