Add/Edit/Delete,Name,Branch,Address 1,City,State,Zip,Country,Tier Name,Data Privacy,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4
,OXXO,OXXO,CALLE Av Cancun smza 55 mza 30  COLONIA REGION 500 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Portobello CUN,PUNTO DE VENTA,REGION 500
,OXXO,OXXO,CALLE Cerrada de los Almendros SMza 61 mza 1 COLONIA CENTRO MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Almendros CUN,PUNTO DE VENTA,CENTRO
,OXXO,OXXO,CALLE Av.bugambilia Smza 259 mza 120 COLONIA REGION 103 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Bugambilia CUN,PUNTO DE VENTA,REGION 103
,OXXO,OXXO,CALLE Av. Niños Héroes Sm 259 Mz 115 COLONIA CIUDAD DE CANCUN MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Ninios Heroes CUN,PUNTO DE VENTA,CIUDAD DE CANCUN
,OXXO,OXXO,CALLE AV LEONA VICARIO SM 259 MZ 104 FRACC VILLA COLONIA *SUPER MANZANA 200 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Villas CUN,PUNTO DE VENTA,*SUPER MANZANA 200
,OXXO,OXXO,CALLE Av orquideas Smza 259 Mza 102  COLONIA REGION 103 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Orquideas CUN,PUNTO DE VENTA,REGION 103
,OXXO,OXXO,CALLE AV. S/N SM. 253 MZA. 12  COLONIA REGION  98 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Marabu CUN,PUNTO DE VENTA,REGION  98
,OXXO,OXXO,CALLE RUTA 5 COLONIA REGION 100 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Tejas CUN,PUNTO DE VENTA,REGION 100
,OXXO,OXXO,CALLE AV. CHAC MOOL MZA 67 COLONIA REGION 100 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Del Mar CUN,PUNTO DE VENTA,REGION 100
,OXXO,OXXO,CALLE PASEO EL LIMONERO COLONIA *SUPER MANZANA 200 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,TUK CUN,PUNTO DE VENTA,*SUPER MANZANA 200
,OXXO,OXXO,CALLE AV MONTE PEÑA MZ 24 COLONIA *VISTA REAL MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Vista Real CUN,PUNTO DE VENTA,*VISTA REAL
,OXXO,OXXO,CALLE AV. LEONA VICARIO SM 201 MZ 80 COLONIA *SUPER MANZANA 200 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Laguer CUN,PUNTO DE VENTA,*SUPER MANZANA 200
,OXXO,OXXO,CALLE Av. luis donaldo colosio  mza 3 COLONIA CENTRO MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Galaxias II CUN,PUNTO DE VENTA,CENTRO
,OXXO,OXXO,CALLE Av.kabah Smza 248 mza 83  COLONIA REGION 230 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Girasol CUN,PUNTO DE VENTA,REGION 230
,OXXO,OXXO,CALLE AV. GALAXIAS DEL SOL COLONIA *PASEO NIKTE MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Hawai CUN,PUNTO DE VENTA,*PASEO NIKTE
,OXXO,OXXO,CALLE MZ 04  COLONIA *SUPERMANZANA 301 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Central De Abastos CUN,PUNTO DE VENTA,*SUPERMANZANA 301
,OXXO,OXXO,"CALLE Av. Puerto Juarez, esquina Calle 145 COLONIA *SUPERMANZANA 209 MUNICIPIO BENITO JUAREZ",BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Puerto 145 CUN,PUNTO DE VENTA,*SUPERMANZANA 209
,OXXO,OXXO,CALLE AV. SAN SALVADOR COLONIA *CARIBE MUNICIPIO OTHON P BLANCO,OTHON P BLANCO,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Belisario CUN,PUNTO DE VENTA,*CARIBE
,OXXO,OXXO,CALLE Smza 200 AV. Leona Vicario lote COLONIA CANCUN CENTRO MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Haciendas II CUN,PUNTO DE VENTA,CANCUN CENTRO
,OXXO,OXXO,CALLE AN 90 SUR POR CALLE 7 SUR COLONIA SAN GERVACIO 1 MUNICIPIO COZUMEL,COZUMEL,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Pargo CUN,PUNTO DE VENTA,SAN GERVACIO 1
,OXXO,OXXO,CALLE BLVD KUKULCAN COLONIA CANCUN CENTRO MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Chac Mool CUN,PUNTO DE VENTA,CANCUN CENTRO
,OXXO,OXXO,CALLE Edificio centro empresarial local 1 mza 13 z.1 COLONIA CENTRO MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Playa CUN,PUNTO DE VENTA,CENTRO
,OXXO,OXXO,CALLE Av Benito juarez  esq calle 50 Av sur COLONIA COZUMEL CENTRO MUNICIPIO COZUMEL,COZUMEL,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Huracan CUN,PUNTO DE VENTA,COZUMEL CENTRO
