Add/Edit/Delete,Name,Branch,Address 1,City,State,Zip,Country,Tier Name,Data Privacy,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4
,SAINT-ETIENNE,,Parc Technologique Métrotech Domaine du Colombier,ST JEAN BONNEFOND,,="42650",France,EMEA - France,True,Acticall,Call Center,EMEA,FRM
,TARBES,,"Zone Tertiaire Téléport 2, Pyrénées Aéropole",JUILLAN,,="65290",France,EMEA - France,True,Acticall,Call Center,EMEA,FRM
,TOUL,,"73, Rue Raymond Frénot, Pôle Industriel Toul Europe Secteur A",TOUL,,="54200",France,EMEA - France,True,Acticall,Call Center,EMEA,FRM
,Troyes,,35 Rue Danton,Pont Sainte Marie,,="10150",France,EMEA - France,True,Sitel,Call Center,EMEA,FRM
,VERVINS,,"Ancienne Ecole Ceccaldi, Place Papillon",VERVINS,,="02140",France,EMEA - France,True,Acticall,Call Center,EMEA,FRM
,WASQUEHAL,,ZAC du Grand Cottignies 10 et 12 rue Conrad Adenauer,WASQUEHAL,,="59290",France,EMEA - France,True,Acticall,Call Center,EMEA,FRM
,Berlin,,"Niederlassung Berlin & Potsdam, Wohlrabedamm 32, 13629 Berlin, Germany",Berlin,,="",Germany,EMEA - Germany,True,Sitel,Call Center,EMEA,GEE
,Dessau 1,,Unruhstr.1,Dessau,,="",Germany,EMEA - Germany,True,Sitel,Call Center,EMEA,GEE
,Dusseldorf,,Muensterstr. 100,Dusseldorf,,="",Germany,EMEA - Germany,True,Sitel,Call Center,EMEA,GEE
,Germany - Maxhubs,,Germany - Maxhubs,Germany - Maxhubs,,="",Germany,EMEA - Germany,True,Sitel,MAXhubs,EMEA,GEE
,Germany - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Germany - Other Locations,,="",Germany,EMEA - Germany,True,Sitel,Other,EMEA,GEE
,Germany - Virtual,,Germany - Virtual,Germany - Virtual,,="",Germany,EMEA - Germany,True,Sitel,Virtual,EMEA,GEE
,Krefeld A17,,Europark Fichtenhain A 17,Krefeld,,="",Germany,EMEA - Germany,True,Sitel,Call Center,EMEA,GEE
,Magdeburg,,Halberstädter Str. 40 - 42,Magdeburg,,="39112",Germany,EMEA - Germany,True,Sitel,Call Center,EMEA,GEE
,Potsdam,,Zeppelinstraße 48B,Potsdam,,="14471",Germany,EMEA - Germany,True,Sitel,Call Center,EMEA,GEE
,Wittenberg,,"Friedrichstrabe 126, 06886, Lutherstadt, Wittenberg",Lutherstadt-Wittenberg,,="",Germany,EMEA - Germany,True,Sitel,Call Center,EMEA,GEE
,Athens,,"Capitol Building, 74-78, 3rd September str., 33-35 Ioulianou str. & Patission str.",Athens,,="10434",Greece,EMEA - Greece,True,Sitel,Call Center,EMEA,GEE
,Greece - Maxhubs,,Greece - Maxhubs,Greece - Maxhubs,,="",Greece,EMEA - Greece,True,Sitel,MAXhubs,EMEA,GEE
,Greece – Virtual,,Greece – Virtual,Greece – Virtual,,="",Greece,EMEA - Greece,True,Sitel,Virtual,EMEA,GEE
,Chennai,,"Block C, 1st Floor, Hardy Tower, Ramanujan IT SEZ, Rajiv Gandhi Salai (OMR), Taramani",Chennai,,="600113",India,Asia Pacific - India,True,Sitel,Call Center,Asia Pacific,India
,Gurgaon (Delhi),,"12th Floor, Block A3,IT/ITES SEZ of M/s. DLF Limited SEZ, Village Silokhera",Gurgaon,,="122001",India,Asia Pacific - India,True,Sitel,Call Center,Asia Pacific,India
,Hyderabad,,"Unit No - 02, Block II Cyber Pearl, Hitec City, Madhapur",Hyderabad,,="500081",India,Asia Pacific - India,True,Sitel,Call Center,Asia Pacific,India
,India - Maxhubs,,India - Maxhubs,India - Maxhubs,,="",India,Asia Pacific - India,True,Sitel,MAXhubs,Asia Pacific,India
,India - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",India - Other Locations,,="",India,Asia Pacific - India,True,Sitel,Other,Asia Pacific,India
,India - Virtual,,India - Virtual,India - Virtual,,="",India,Asia Pacific - India,True,Sitel,Virtual,EMEA,India
,Mumbai,,"501,BOOMERANG, 5th Floor, CHANDIVALI FARM ROAD, ANDHERI ('E)",Mumbai,,="400072",India,Asia Pacific - India,True,Sitel,Call Center,Asia Pacific,India
,Ireland - Maxhubs,,Ireland - Maxhubs,Ireland - Maxhubs,,="",Ireland,EMEA - Ireland,True,Sitel,MAXhubs,EMEA,UKIN
,Ireland - Virtual or Client Sites,,Ireland - Virtual or Client Sites,Ireland - Virtual or Client Sites,,="",Ireland,EMEA - UK,True,Sitel,Virtual,EMEA,UKIN
,Italy - Maxhubs,,Italy - Maxhubs,Italy - Maxhubs,,="",Italy,EMEA - Italy,True,Sitel,MAXhubs,EMEA,SPI
,Ireland - Virtual or Client Sites,,Ireland - Virtual or Client Sites,Ireland - Virtual or Client Sites,,="",Italy,EMEA - Italy,True,Sitel,Virtual,EMEA,SPI
,Mexico - Maxhubs,,Mexico - Maxhubs,Mexico - Maxhubs,,="",Mexico,LATAM - Mexico,True,Sitel,MAXhubs,LATAM,Central America
,Mexico - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Mexico - Other Locations,,="",Mexico,LATAM - Mexico,True,Sitel,Other,LATAM,Central America
,Mexico - Virtual,,Mexico - Virtual,Mexico - Virtual,,="",Mexico,LATAM - Mexico,True,Sitel,Virtual,LATAM,Central America
,San Pedro,,"Av. Vasconcelos # 130 oriente, colonia Santa Engracia, San Pedro Garza García",Monterrey,,="",Mexico,LATAM - Mexico,True,Sitel,Call Center,LATAM,Central America
,Casablanca,,Résidence les myrtilles 156 Bd Yacoub El Mansour,Casablanca,,="02000",Morocco,EMEA - Morocco,True,Sitel,Call Center,EMEA,North Africa
,Casanearshore,,"1100 Bd El Qods,Casanearshore Park, Sidi Maarouf",Casablanca,,="02000",Morocco,EMEA - Morocco,True,Acticall,Call Center,EMEA,North Africa
,Fès,,"Park Fès Shore, Rte Sidi Hrazem Fès",Fez,,="30000",Morocco,EMEA - Morocco,True,Acticall,Call Center,EMEA,North Africa
,Fès BoT,,"Park Fès Shore, Rte Sidi Hrazem Fès",Fez,,="30000",Morocco,EMEA - Morocco,True,Acticall,Call Center,EMEA,North Africa
,Morocco - Maxhubs,,Morocco - Maxhubs,Morocco - Maxhubs,,="",Morocco,EMEA - Morocco,True,Sitel,MAXhubs,EMEA,North Africa
,Morocco - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Morocco - Other Locations,,="",Morocco,EMEA - Morocco,True,Sitel,Other,EMEA,North Africa
,Morocco - Virtual,,Morocco - Virtual,Morocco - Virtual,,="",Morocco,EMEA - Morocco,True,Sitel,Virtual,EMEA,North Africa
,Rabat Agdal,,"32 Avenue Oqba, Place Ibn Yassine, Agdal",Rabat,,="10106",Morocco,EMEA - Morocco,True,Sitel,Call Center,EMEA,North Africa
,Rabat Arribat Center,,"Arribat Center, Avenue Inaouin",Rabat,,="10106",Morocco,EMEA - Morocco,True,Sitel,Call Center,EMEA,North Africa
,Rabat City Center,,"5, Rue Sanaa, Quartier Hassan, CP 10020, Rabat, Moroc",Rabat,,="10106",Morocco,EMEA - Morocco,True,Sitel,Call Center,EMEA,North Africa
,Almelo,,Twenthe-plein 11,Almelo,,="",Netherlands,EMEA - Netherlands,True,Sitel,Call Center,EMEA,BENN
,Eindhoven,,"Tormentil 1, 5684 PK Best",Eindhoven,,="05684",Netherlands,EMEA - Netherlands,True,Sitel,Call Center,EMEA,BENN
,Nethelands - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Nethelands - Other Locations,,="",Netherlands,EMEA - Netherlands,True,Sitel,Other,EMEA,BENN
,Netherlands - Maxhubs,,Netherlands - Maxhubs,Netherlands - Maxhubs,,="",Netherlands,EMEA - Netherlands,True,Sitel,MAXhubs,EMEA,BENN
,Netherlands - Virtual,,Netherlands - Virtual,Netherlands - Virtual,,="",Netherlands,EMEA - Netherlands,True,Sitel,Virtual,EMEA,BENN
,New Zealand - Maxhubs,,New Zealand - Maxhubs,New Zealand - Maxhubs,,="",New Zealand,Asia Pacific - New Zealand,True,Sitel,MAXhubs,Asia Pacific,ANZ
,New Zealand - Virtual,,New Zealand - Virtual,New Zealand - Virtual,,="",New Zealand,Asia Pacific - New Zealand,True,Sitel,Virtual,EMEA,ANZ
,Onehunga,,"Level 1, 8 Gloucester Park Rd",Auckland,,="01061",New Zealand,Asia Pacific - New Zealand,True,Sitel,Call Center,Asia Pacific,ANZ
,Managua - Embassy,,Km 4.5 Carretera Sur. Frente a INISER.,Managua,,="",Nicaragua,LATAM - Nicaragua,True,Sitel,Call Center,LATAM,Central America
,Managua - Invercasa,,Centro de Convenciones Invercasa. 3ero y 6to Piso.,Managua,,="",Nicaragua,LATAM - Nicaragua,True,Sitel,Call Center,LATAM,Central America
,Nicaragua - Maxhubs,,Nicaragua - Maxhubs,Nicaragua - Maxhubs,,="",Nicaragua,LATAM - Nicaragua,True,Sitel,MAXhubs,LATAM,Central America
,Nicaragua - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Nicaragua - Other Locations,,="",Nicaragua,LATAM - Nicaragua,True,Sitel,Other,LATAM,Central America
,Nicaragua - Virtual,,Nicaragua Virtual,Managua,,="",Nicaragua,LATAM - Nicaragua,True,Sitel,Call Center,LATAM,Central America
,Nicaragua - Virtual,,Nicaragua - Virtual,Nicaragua - Virtual,,="",Nicaragua,LATAM - Nicaragua,True,Sitel,Virtual,LATAM,South America
,Panama - Maxhubs,,Panama - Maxhubs,Panama - Maxhubs,,="",Panama,LATAM - Panama,True,Sitel,MAXhubs,LATAM,Central America
,Panama - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Panama - Other Locations,,="",Panama,LATAM - Panama,True,Sitel,Other,LATAM,Central America
,Panama - Virtual,,Panama - Virtual,Panama - Virtual,,="",Panama,LATAM - Panama,True,Sitel,Virtual,LATAM,Central America
,Sitel Plaza,,"Vía Fernandez de Córdoba, Vista  Hermosa, Pueblo Nuevo, District and Province of Panama",Panama City,,="",Panama,LATAM - Panama,True,Sitel,Call Center,LATAM,Central America
,Baguio Cyber,,"SM Cyber Baguio Annex Building, Upper Harrison Road, Baguio City",Baguio City,Benguet,="02600",Philippines,Asia Pacific - Philippines,True,Sitel,Call Center,Asia Pacific,Philippines
,Baguio Site 1,,"Infocel Building, (BCEZ) Loakan Road",Baguio City,Benguet,="02600",Philippines,Asia Pacific - Philippines,True,Sitel,Call Center,Asia Pacific,Philippines
,Baguio Site 2,,"Standard Factory Building 2, (PEZA) Loakan Road",Baguio City,Benguet,="02600",Philippines,Asia Pacific - Philippines,True,Sitel,Call Center,Asia Pacific,Philippines
,Baguio Site 3,,"Panorama Bldng, Baguio City Economic Zone Auth. Loakan Road",Baguio City,Benguet,="02600",Philippines,Asia Pacific - Philippines,True,Sitel,Call Center,Asia Pacific,Philippines
,Eton,,"2F Buildings 3, Eton Cyberpod Corinthian, Edsa corner Ortigas Ave.","Barrio Ugong Norte, Quezon City",NCR,="01110",Philippines,Asia Pacific - Philippines,True,Sitel,Call Center,Asia Pacific,Philippines
,One Julia Vargas (OJV),,"Ortigas Home Depot Complex, One Julia Vargas Ave. Ortigas, Pasig City, Barrio Ugong, Pasig City",Pasig City,NCR,="01604",Philippines,Asia Pacific - Philippines,True,Sitel,Call Center,Asia Pacific,Philippines
,Philippines - Maxhubs,,Philippines - Maxhubs,Philippines - Maxhubs,Other,="",Philippines,Asia Pacific - Philippines,True,Sitel,MAXhubs,Asia Pacific,Philippines
,Philippines - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Philippines - Other Locations,Other,="",Philippines,Asia Pacific - Philippines,True,Sitel,Other,Asia Pacific,Philippines
,Philippines - Virtual,,Philippines - Virtual,Philippines - Virtual,Other,="",Philippines,Asia Pacific - Philippines,True,Sitel,Virtual,Asia Pacific,Philippines
,Pioneer 1,,"16F Cyber Gate Tower 1, Robinson's Pioneer","Mandaluyong City, Metro Manila",NCR,="01554",Philippines,Asia Pacific - Philippines,True,Sitel,Call Center,Asia Pacific,Philippines
,Pioneer 2,,12th floor Robinson Cybergate Plaza Edsa Corner Pioneer,"Mandaluyong City, Metro Manila",NCR,="01554",Philippines,Asia Pacific - Philippines,True,Sitel,Call Center,Asia Pacific,Philippines
,Puerto Princesa,,"GF-3F-EastVille City Walk Bgy. Pedro Puerto Princesa City, Palawan Province, Philippines.",Puerto Princesa City,Palawan,="05300",Philippines,Asia Pacific - Philippines,True,Sitel,Call Center,Asia Pacific,Philippines
,Tarlac,,"Robinsons Luisita, Mc Arthur Highway, San Miguel",Tarlac City,Tarlac,="02300",Philippines,Asia Pacific - Philippines,True,Sitel,Call Center,Asia Pacific,Philippines
